anchor,positive
"τὰ γὰρ ἀληθῆ λεχθήσεται, ἀπήντετό τις τῶν χωριτῶν ὑποφεύγοντι τῷ Τιμοθέῳ καὶ τεταραγμένῳ, καὶ τὴν αἰτίαν τῆς ἐπείξεως ἐπύθετο.","ἀληθῶς γὰρ ἐροῦμεν, προσέβαλέν τις τῶν ἀγροικῶν τῷ Τιμοθέῳ φεύγοντί τε καὶ πεποικιλμένῳ, καὶ τὴν αἰτίαν τοῦ ὁρμῆσαι ἠρώτησεν."
οὐκ εἰς μακρὸν δὲ ἄρα αὐτῷ ἐπληροῦτο τὰ τῆς ἐπαγγελίας.,οὐ πολὺν δὲ χρόνον ἔδει αὐτῷ ἀναμείναντι ἵνα πέρας λάβωσιν αἱ ὑποσχέσεις.
"τόπου σχολάζοντος, ἐπὶ τοῦτο προκοπῆς τὸν Μαρῖνον ἡ τοῦ βαθμοῦ τάξις ἐκάλει, ἤδη τε μέλλοντα τῆς τιμῆς ἔχεσθαι παρελθὼν ἄλλος πρὸ τοῦ βήματος, μὴ ἐξεῖναι μὲν ἐκείνῳ τῆς Ῥωμαίων μετέχειν ἀξίας κατὰ τοὺς παλαιοὺς νόμους, Χριστιανῷ γε ὄντι καὶ τοῖς βασιλεῦσι μὴ θύοντι, κατηγόρει, αὐτῷ δ᾿ ἐπιβάλλειν τὸν κλῆρον· ἐφ᾿ ᾧ κινηθέντα τὸν δικαστήν (Ἀχαιὸς οὗτος ἦν) πρῶτον μὲν ἐρέσθαι ποίας ὁ Μαρῖνος εἴη γνώμης, ὡς δ᾿ ὁμολογοῦντα Χριστιανὸν ἐπιμόνως ἑώρα, τριῶν ὡρῶν ἐπιδοῦναι αὐτῷ εἰς ἐπίσκεψιν διάστημα.","ἐπεὶ δὲ ὁ Μαρῖνος εἰς ἀξίωμα προῆκτο, κατὰ νόμον παλαιὸν Χριστιανὸς ὢν καὶ θυσίας ἀπειπὼν, κωλυθεὶς τῆς τιμῆς, ἕτερος δὲ τὸν κλῆρον ἀντιποιησάμενος, ὁ δικαστὴς (οὗνομα Ἀχαιὸς) αὐτὸν ἐπύθετο τίς εἴη· ὡς δὲ ἐμολόγει Χριστιανόν, τρεῖς ὥρας ἔδωκεν αὐτῷ βουλεύσασθαι."
"τούτοις μὲν οὖν αὕτη χορεύει· οἵοις δὲ καὶ ὁ νυμφίος, λόγος ὁ οὐράνιος, αὐτὸς Ἰησοῦς Χριστὸς αὐτὴν ἀμείβεται, ἄκουε λέγοντος κυρίου μὴ φοβοῦ ὅτι κατῃσχύνθης μηδὲ ἐντραπῇς ὅτι ὠνειδίσθης· ὅτι αἰσχύνην αἰώνιον ἐπιλήσῃ καὶ ὄνειδος τῆς χηρείας σου οὐ μὴ μνησθήσῃ.","ταῦτα μὲν οὖν ἡ νύμφη ἀμείβεται· ὁ δὲ νυμφίος, ὁ λόγος ὁ ἐπουράνιος, Χριστὸς αὐτὸς φησίν· «μὴ φοβοῦ τὴν αἰσχύνην σου, μηδὲ ὀνειδισμοὺς μνησθῇς· αἰωνίαν γὰρ λήθην αὐτῶν ἕξεις.»"
"ὑπὲρ δὲ τῶν τοιούτων ἤδη καὶ πολλοὶ τῶν περὶ τὰς ἐπαρχίας ἡγεμόνων καὶ τῷ θειοτάτῳ ἡμῶν ἔγραψαν πατρί, οἷς καὶ ἀντέγραψεν μηδὲν ἐνοχλεῖν τοῖς τοιούτοις, εἰ μὴ ἐμφαίνοιντό τι περὶ τὴν Ῥωμαίων ἡγεμονίαν ἐγχειροῦντες.","πολλοὶ δὲ τῶν ἡγεμόνων ἐπαρχιῶν τῷ βασιλεῖ ἔγραψαν περὶ τούτων, ὃς ἀντέγραφεν μὴ κωλύειν αὐτούς, ἐὰν μὴ κατὰ τῆς ἀρχῆς ἐπιβουλεύωσιν."
"νῦν μέν γε θρῆνοι πάντα, καὶ πενθοῦσιν πάντες, καὶ περιηχοῦσιν οἰμωγαὶ τὴν πόλιν διὰ τὸ πλῆθος τῶν τεθνηκότων καὶ τῶν ἀποθνῃσκόντων ὁσημέραι· ὡς γὰρ ἐπὶ τῶν πρωτοτόκων τῶν Αἰγυπτίων γέγραπται, οὕτως καὶ νῦν ἐγενήθη κραυγὴ μεγάλη· οὐ γὰρ ἔστιν οἰκία, ἐν ᾗ οὐκ ἔστιν ἐν αὐτῇ τεθνηκώς, καὶ ὄφελόν γε εἷς.","Ἡ τῶν πρωτοτόκων Αἰγύπτου γῆν μεγάλη συμφορά ἐγένετο, πένθος ἄφθονον ἀνθρώποις ἐπάγουσα."
"τότε δ᾿ οὖν καὶ οὗτος τὰς ὑπὸ τοῦ Φιλίππου δυνάμει θείᾳ τελουμένας καταπλαγεὶς παραδοξοποιίας, ὑποδύεται καὶ μέχρι λουτροῦ τὴν εἰς Χριστὸν πίστιν καθυποκρίνεται· ὃ καὶ θαυμάζειν ἄξιον εἰς δεῦρο γινόμενον πρὸς τῶν ἔτι καὶ νῦν τὴν ἀπ᾿ ἐκείνου μιαρωτάτην μετιόντων αἵρεσιν, οἳ τῇ τοῦ σφῶν προπάτορος μεθόδῳ τὴν ἐκκλησίαν λοιμώδους καὶ ψωραλέας νόσου δίκην ὑποδυόμενοι, τὰ μέγιστα λυμαίνονται τοὺς οἷς ἐναπομάξασθαι οἷοί τε ἂν εἶεν τὸν ἐν αὐτοῖς ἀποκεκρυμμένον δυσαλθῆ καὶ χαλεπὸν ἰόν.","οὗτος δὲ τοῖς Φιλίππου θαύμασιν ἐκπλαγεὶς, προσποιεῖται πιστεύειν, μέχρι καὶ βαπτίζεται· ὡς καὶ νῦν οἱ τὴν αἵρεσιν αὐτοῦ διάκονες ὑποκρινόμενοι, ὥσπερ λοιμὸς ἐμφύοντες, τοὺς ἁπτομένους φθείρουσιν."
τίς ἀνημέρων ἐθνῶν ἔθη βάρβαρα καὶ ἀνήμερα τοῖς ἡμέροις αὐτοῦ καὶ φιλανθρωποτάτοις παρέλυσε νόμοις;,"τίς ποτε ἀνδρῶν, εἴτε βαρβάρων εἴτε ἠμέρων, τοσοῦτον ἐτόλμησεν ἐπιχειρῆσαι, ὥστε ἐκ τῶν ἀνόμων καὶ θηριωδῶν ἐθῶν τῶν ἀνθρώπων, ἃ παρὰ τοῖς ἀγροίκοις ἔθνεσιν ἐπικρατεῖ καὶ τῆς φύσεως αὐτῶν ἀνταποκρίνεται ἀνημερίας, ἀποσπάσαι αὐτοὺς διὰ νομοθεσίας πραΰτητος καὶ φιλανθρωπίας πλήρους, ἣν οὐδὲν ἀνθρώπινον οὔτε ἐννοῆσαι οὔτε ἐπιτελέσαι ἔδοξεν εἶναι ἀρκετόν;"
"ἐν μὲν οὖν τοῖς Στρωματεῦσιν οὐ μόνον τῆς θείας κατάστρωσιν πεποίηται γραφῆς, ἀλλὰ καὶ τῶν παρ᾿ Ἕλλησιν, εἴ τι ἄρα ὠφέλιμον ἐδόκει καὶ αὐτοῖς εἰρῆσθαι, μνημονεύει τῶν τε παρὰ τοῖς πολλοῖς δογμάτων, τὰ Ἑλλήνων ὁμοῦ καὶ τὰ βαρβάρων ἀναπτύσσων καὶ ἔτι τὰς τῶν αἱρεσιαρχῶν ψευδοδοξίας εὐθύνων, ἱστορίαν τε πολλὴν ἐξαπλοῖ, ὑπόθεσιν ἡμῖν πολυμαθοῦς παρέχων παιδείας.","ἐν τοῖς Στρωματεῦσιν οὐ μόνον θεῖαν, ἀλλὰ καὶ Ἑλληνικὴν καὶ βαρβαρικὴν γνώμην ἀναφέρει, ψευδοδοξίας αἱρεσιαρχῶν ἐλέγχει, καὶ παιδείας πλοῦτον παρέχει."
Διὰ παντός γέ τοι τοῦ κατὰ τὸν διωγμὸν δεκαέτους χρόνου τῶν εἰς ἐπιβουλὴν καὶ πόλεμον τὸν κατ᾿ ἀλλήλων οὐδὲν αὐτοὺς διαλέλοιπεν.,"ἐν ὅλῳ δὲ τῷ δεκαετεῖ διωγμῷ, αἰεὶ πρὸς ἀλλήλους ἐπιβουλὰς καὶ στάσεις ἐποίουν."
